Year,Country,Champion,Total score
1934,United States,Horton Smith,284
1935,United States,Gene Sarazen,282
1936,United States,Horton Smith,285
1937,United States,Byron Nelson,283
1938,United States,Henry Picard,285
1939,United States,Ralph Guldahl,279
1940,United States,Jimmy Demaret,280
1941,United States,Craig Wood,280
1942,United States,Byron Nelson,280
1946,United States,Herman Keiser,282
1947,United States,Jimmy Demaret,281
1948,United States,Claude Harmon,279
1949,United States,Sam Snead,282
1950,United States,Jimmy Demaret,283
1951,United States,Ben Hogan,280
1952,United States,Sam Snead,286
1953,United States,Ben Hogan,274
1954,United States,Sam Snead,289
1955,United States,Cary Middlecoff,279
1956,United States,Jack Burke Jr.,289
1957,United States,Doug Ford,283
1958,United States,Arnold Palmer,284
1959,United States,Art Wall Jr.,284
1960,United States,Arnold Palmer,282
1961,South Africa,Gary Player,280
1962,United States,Arnold Palmer,280
1963,United States,Jack Nicklaus,286
1964,United States,Arnold Palmer,276
1965,United States,Jack Nicklaus,271
1966,United States,Jack Nicklaus,288
1967,United States,Gay Brewer,280
1968,United States,Bob Goalby,277
1969,United States,George Archer,281
1970,United States,Billy Casper,279
1971,United States,Charles Coody,279
1972,United States,Jack Nicklaus,286
1973,United States,Tommy Aaron,283
1974,South Africa,Gary Player,278
1975,United States,Jack Nicklaus,276
1976,United States,Raymond Floyd,271
1977,United States,Tom Watson,276
1978,South Africa,Gary Player,277
1979,United States,Fuzzy Zoeller,280
1980,Spain,Seve Ballesteros,275
1981,United States,Tom Watson,280
1982,United States,Craig Stadler,284
1983,Spain,Seve Ballesteros,280
1984,United States,Ben Crenshaw,277
1985,West Germany,Bernhard Langer,282
1986,United States,Jack Nicklaus,279
1987,United States,Larry Mize,285
1988,Scotland,Sandy Lyle,281
1989,England,Nick Faldo,283
1990,England,Nick Faldo,278
1991,Wales,Ian Woosnam,277
1992,United States,Fred Couples,275
1993,Germany,Bernhard Langer,277
1994,Spain,José María Olazábal,279
1995,United States,Ben Crenshaw,274
1996,England,Nick Faldo,276
1997,United States,Tiger Woods,270
1998,United States,Mark O'Meara,279
1999,Spain,José María Olazábal,280
2000,Fiji,Vijay Singh,278
2001,United States,Tiger Woods,272
2002,United States,Tiger Woods,276
2003,Canada,Mike Weir,281
2004,United States,Phil Mickelson,279
2005,United States,Tiger Woods,276
2006,United States,Phil Mickelson,281
2007,United States,Zach Johnson,289
2008,South Africa,Trevor Immelman,280
2009,Argentina,Ángel Cabrera,276
2010,United States,Phil Mickelson,272
2011,South Africa,Charl Schwartzel,274
2012,United States,Bubba Watson,278
2013,Australia,Adam Scott,279
2014,United States,Bubba Watson,280
2015,United States,Jordan Spieth,270
2016,England,Danny Willett,283
2017,Spain,Sergio García,279
2018,United States,Patrick Reed,273
2019,United States,Tiger Woods,275
2020,United States,Dustin Johnson,268
2021,Japan,Hideki Matsuyama,278
2022,United States,Scottie Scheffler,278
2023,Spain,Jon Rahm,276
2024,United States,Scottie Scheffler,277