RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,28089,Jason Day,13.04,534.63,-287.25,384.29
2,0,30925,Dustin Johnson,11.31,508.84,-173.33,437.12
3,0,28237,Rory McIlroy,11.07,464.82,-360.74,352.51
4,0,34046,Jordan Spieth,9.29,482.91,-392.98,275.85
5,0,21528,Henrik Stenson,8.52,408.76,-250.36,284.84
6,0,24502,Adam Scott,7.07,304.07,-161.82,279.21
7,0,34360,Patrick Reed,6.10,317.24,-168.09,251.85
8,0,25804,Bubba Watson,6.04,283.70,-253.65,171.44
9,0,32139,Danny Willett,5.76,287.83,-152.97,241.64
10,0,32102,Rickie Fowler,5.63,287.14,-262.54,178.97
11,0,22405,Justin Rose,5.35,267.45,-236.26,138.55
12,0,25364,Paul Casey,5.08,248.91,-117.90,186.19
13,0,21209,Sergio Garcia,5.04,226.84,-164.43,181.18
14,0,29974,Branden Grace,4.89,254.37,-146.96,185.93
15,0,01810,Phil Mickelson,4.89,210.27,-103.69,196.03
16,0,25632,Jimmy Walker,4.72,245.42,-135.47,209.93
17,0,23108,Matt Kuchar,4.53,235.33,-140.15,184.91
18,0,32839,Hideki Matsuyama,4.46,231.83,-160.31,181.95
19,0,33122,Russell Knox,4.24,220.58,-94.36,155.28
20,3,27649,Brandt Snedeker,4.08,212.32,-122.20,200.00